"company","fiscal_year","quarter_num","revenue_cr","headcount","revenue_per_employee_inr","net_profit_cr","ebit_margin_pct","attrition_pct"
"HCLTech",2022,1,20068,176499,1137004,3214,19.6,11.8
"HCLTech",2022,2,20655,187634,1100813,3265,19,15.7
"HCLTech",2022,3,22331,197777,1129100,3442,19,19.8
"HCLTech",2022,4,22597,208877,1081833,3593,17.9,21.9
"HCLTech",2023,1,23464,210966,1112217,3283,17,23.8
"HCLTech",2023,2,24686,219325,1125544,3489,18,23.8
"HCLTech",2023,3,26700,222270,1201242,4096,19.6,21.7
"HCLTech",2023,4,26606,225944,1177548,3983,18.1,19.5
"HCLTech",2024,1,26296,223438,1176881,3534,17,16.3
"HCLTech",2024,2,26672,221139,1206119,3832,18.5,14.2
"HCLTech",2024,3,28446,224756,1265639,4350,19.8,12.8
"HCLTech",2024,4,28499,227481,1252808,3986,17.6,12.4
"HCLTech",2025,1,28057,219401,1278800,4257,17.1,12.8
"HCLTech",2025,2,28862,218621,1320184,4235,18.6,12.9
"HCLTech",2025,3,29890,220755,1353990,4591,19.5,13.2
"HCLTech",2025,4,30246,223420,1353773,4307,18,13
"HCLTech",2026,1,30349,223151,1360021,3843,16.3,12.8
"HCLTech",2026,2,31942,226640,1409372,4235,17.4,12.6
"HCLTech",2026,3,33872,226379,1496252,4795,18.6,12.4
"HCLTech",2026,4,33981,227181,1495768,4488,16.5,12.5
"HCLTech",2027,1,34579,223889,1544471,4624,16.9,12.7
"Infosys",2022,1,27896,267953,1041078,5195,23.7,13.9
"Infosys",2022,2,29602,279617,1058662,5421,23.6,20.1
"Infosys",2022,3,31867,292067,1091085,5809,23.5,25.5
"Infosys",2022,4,32276,314015,1027849,5686,21.5,27.7
"Infosys",2023,1,34470,335186,1028384,5360,20.1,28.4
"Infosys",2023,2,36538,345218,1058404,6021,21.5,27.1
"Infosys",2023,3,38318,346845,1104759,6586,21.5,24.3
"Infosys",2023,4,37441,343234,1090830,6128,21,20.9
"Infosys",2024,1,37933,336294,1127971,5945,20.8,17.3
"Infosys",2024,2,38994,328764,1186079,6212,21.2,14.1
"Infosys",2024,3,38821,322663,1203144,6106,20.5,12.9
"Infosys",2024,4,37923,317240,1195404,7969,20.1,12.6
"Infosys",2025,1,39315,315332,1246781,6368,21.1,12.7
"Infosys",2025,2,40986,317788,1289728,6506,21.1,12.9
"Infosys",2025,3,41764,323379,1291488,6806,21.3,13.7
"Infosys",2025,4,40925,323578,1264765,7033,21,14.1
"Infosys",2026,1,42279,323788,1305762,6921,20.8,14.4
"Infosys",2026,2,44490,331991,1340097,7364,21,14.3
"Infosys",2026,3,45479,337034,1349389,6654,18.4,12.3
"Infosys",2026,4,46402,328594,1412138,8501,21,12.6
"Infosys",2027,1,48211,328062,1469570,7769,21.1,13
"TCS",2022,1,45411,509058,892059,9008,25.5,8.6
"TCS",2022,2,46867,528748,886377,9624,25.6,11.9
"TCS",2022,3,48885,556986,877670,9769,25,15.3
"TCS",2022,4,50591,592195,854296,9926,25,17.4
"TCS",2023,1,52758,606331,870119,9478,23.1,19.7
"TCS",2023,2,55309,616171,897624,10431,24,21.5
"TCS",2023,3,58229,613974,948395,10846,24.5,21.3
"TCS",2023,4,59162,614795,962305,11392,24.5,20.1
"TCS",2024,1,59381,615318,965046,11074,23.2,17.8
"TCS",2024,2,59692,608985,980188,11342,24.3,14.9
"TCS",2024,3,60583,603305,1004185,11735,25,13.3
"TCS",2024,4,61237,601546,1017994,12434,26,12.5
"TCS",2025,1,62613,606998,1031519,12040,24.7,12.1
"TCS",2025,2,64259,612724,1048743,11909,24.1,12.3
"TCS",2025,3,63973,607354,1053307,12380,24.5,13
"TCS",2025,4,64479,607979,1060546,12224,24.2,13.3
"TCS",2026,1,63437,613069,1034745,12760,24.5,13.8
"TCS",2026,2,65799,593314,1109008,12904,25.2,13.3
"TCS",2026,3,67087,582163,1152375,13438,25.2,13.5
"TCS",2026,4,70698,584519,1209507,13718,25,13.7
"TCS",2027,1,72275,593798,1217165,13849,24,13.6
"Wipro",2022,1,18252,209890,869598,3237,18.8,15.5
"Wipro",2022,2,19667,221365,888442,2930,17.8,20.5
"Wipro",2022,3,20313,231671,876804,2972,17.6,22.7
"Wipro",2022,4,20860,243128,857984,3092,17,23.8
"Wipro",2023,1,21528,258574,832566,2558,15,23.3
"Wipro",2023,2,25539,259179,985381,2649,15.1,23
"Wipro",2023,3,23229,258744,897760,3065,16.3,21.2
"Wipro",2023,4,23190,256921,902612,3093,16.3,19.2
"Wipro",2024,1,22831,249758,914125,2886,16,17.3
"Wipro",2024,2,22515,244707,920080,2667,16.1,15.5
"Wipro",2024,3,22205,240234,924307,2700,16,14.2
"Wipro",2024,4,22208,234054,948841,2858,16.4,14.2
"Wipro",2025,1,21964,234391,937067,3036,16.5,14.1
"Wipro",2025,2,22301,233889,953486,3226,16.8,14.5
"Wipro",2025,3,22319,232732,959000,3366,17.5,15.3
"Wipro",2025,4,22504,233346,964405,3588,17.5,15
"Wipro",2026,1,22134,233232,949012,3336,17.3,15.1
"Wipro",2026,2,22697,235492,963812,3262,17.2,14.9
"Wipro",2026,3,23556,242021,973304,3145,17.6,14.2
"Wipro",2026,4,24236,242156,1000842,3521,17.3,13.8
"Wipro",2027,1,24478,243044,1007143,3356,16,13.9
