company,fiscal_year,quarter_num,revenue_cr,headcount,net_profit_cr,ebit_margin_pct,attrition_pct,source_doc
TCS,2022,1,45411,509058,9008,25.5,8.6,TCS-Q1-FY22-23.pdf
TCS,2022,2,46867,528748,9624,25.6,11.9,TCS-Q2-FY22-23.pdf
TCS,2022,3,48885,556986,9769,25,15.3,TCS-Q3-FY22-23.pdf
TCS,2022,4,50591,592195,9926,25,17.4,TCS-Q4-FY22-23.pdf
TCS,2023,1,52758,606331,9478,23.1,19.7,TCS-Q1-FY23-24.pdf
TCS,2023,2,55309,616171,10431,24,21.5,TCS-Q2-FY23-24.pdf
TCS,2023,3,58229,613974,10846,24.5,21.3,TCS-Q3-FY23-24.pdf
TCS,2023,4,59162,614795,11392,24.5,20.1,TCS-Q4-FY23-24.pdf
TCS,2024,1,59381,615318,11074,23.2,17.8,TCS-Q1-FY24-25.pdf
TCS,2024,2,59692,608985,11342,24.3,14.9,TCS-Q2-FY24-25.pdf
TCS,2024,3,60583,603305,11735,25,13.3,TCS-Q3-FY24-25.pdf
TCS,2024,4,61237,601546,12434,26,12.5,TCS-Q4-FY24-25.pdf
TCS,2025,1,62613,606998,12040,24.7,12.1,TCS-Q1-FY25-26.pdf
TCS,2025,2,64259,612724,11909,24.1,12.3,TCS-Q2-FY25-26.pdf
TCS,2025,3,63973,607354,12380,24.5,13,TCS-Q3-FY25-26.pdf
TCS,2025,4,64479,607979,12224,24.2,13.3,TCS-Q4-FY25-26.pdf
TCS,2026,1,63437,613069,12760,24.5,13.8,TCS-Q1-FY26-27.pdf
TCS,2026,2,65799,593314,12904,25.2,13.3,TCS-Q2-FY26-27.pdf
TCS,2026,3,67087,582163,13438,25.2,13.5,TCS-Q3-FY26-27.pdf
TCS,2026,4,70698,584519,13718,25,13.7,TCS-Q4-FY26-27.pdf
TCS,2027,1,72275,593798,13849,24,13.6,TCS-Q1-FY27-28.pdf
Infosys,2022,1,27896,267953,5195,23.7,13.9,INFOSYS-Q1-FY22-23.pdf
Infosys,2022,2,29602,279617,5421,23.6,20.1,INFOSYS-Q2-FY22-23.pdf
Infosys,2022,3,31867,292067,5809,23.5,25.5,INFOSYS-Q3-FY22-23.pdf
Infosys,2022,4,32276,314015,5686,21.5,27.7,INFOSYS-Q4-FY22-23.pdf
Infosys,2023,1,34470,335186,5360,20.1,28.4,INFOSYS-Q1-FY23-24.pdf
Infosys,2023,2,36538,345218,6021,21.5,27.1,INFOSYS-Q2-FY23-24.pdf
Infosys,2023,3,38318,346845,6586,21.5,24.3,INFOSYS-Q3-FY23-24.pdf
Infosys,2023,4,37441,343234,6128,21,20.9,INFOSYS-Q4-FY23-24.pdf
Infosys,2024,1,37933,336294,5945,20.8,17.3,INFOSYS-Q1-FY24-25.pdf
Infosys,2024,2,38994,328764,6212,21.2,14.1,INFOSYS-Q2-FY24-25.pdf
Infosys,2024,3,38821,322663,6106,20.5,12.9,INFOSYS-Q3-FY24-25.pdf
Infosys,2024,4,37923,317240,7969,20.1,12.6,INFOSYS-Q4-FY24-25.pdf
Infosys,2025,1,39315,315332,6368,21.1,12.7,INFOSYS-Q1-FY25-26.pdf
Infosys,2025,2,40986,317788,6506,21.1,12.9,INFOSYS-Q2-FY25-26.pdf
Infosys,2025,3,41764,323379,6806,21.3,13.7,INFOSYS-Q3-FY25-26.pdf
Infosys,2025,4,40925,323578,7033,21,14.1,INFOSYS-Q4-FY25-26.pdf
Infosys,2026,1,42279,323788,6921,20.8,14.4,INFOSYS-Q1-FY26-27.pdf
Infosys,2026,2,44490,331991,7364,21,14.3,INFOSYS-Q2-FY26-27.pdf
Infosys,2026,3,45479,337034,6654,18.4,12.3,INFOSYS-Q3-FY26-27.pdf
Infosys,2026,4,46402,328594,8501,21,12.6,INFOSYS-Q4-FY26-27.pdf
Infosys,2027,1,48211,328062,7769,21.1,13,INFOSYS-Q1-FY27-28.pdf
Wipro,2022,1,18252,209890,3237,18.8,15.5,WIPRO-Q1-FY22-23.pdf
Wipro,2022,2,19667,221365,2930,17.8,20.5,WIPRO-Q2-FY22-23.pdf
Wipro,2022,3,20313,231671,2972,17.6,22.7,WIPRO-Q3-FY22-23.pdf
Wipro,2022,4,20860,243128,3092,17,23.8,WIPRO-Q4-FY22-23.pdf
Wipro,2023,1,21528,258574,2558,15,23.3,WIPRO-Q1-FY23-24.pdf
Wipro,2023,2,25539,259179,2649,15.1,23,WIPRO-Q2-FY23-24.pdf
Wipro,2023,3,23229,258744,3065,16.3,21.2,WIPRO-Q3-FY23-24.pdf
Wipro,2023,4,23190,256921,3093,16.3,19.2,WIPRO-Q4-FY23-24.pdf
Wipro,2024,1,22831,249758,2886,16,17.3,WIPRO-Q1-FY24-25.pdf
Wipro,2024,2,22515,244707,2667,16.1,15.5,WIPRO-Q2-FY24-25.pdf
Wipro,2024,3,22205,240234,2700,16,14.2,WIPRO-Q3-FY24-25.pdf
Wipro,2024,4,22208,234054,2858,16.4,14.2,WIPRO-Q4-FY24-25.pdf
Wipro,2025,1,21964,234391,3036,16.5,14.1,WIPRO-Q1-FY25-26.pdf
Wipro,2025,2,22301,233889,3226,16.8,14.5,WIPRO-Q2-FY25-26.pdf
Wipro,2025,3,22319,232732,3366,17.5,15.3,WIPRO-Q3-FY25-26.pdf
Wipro,2025,4,22504,233346,3588,17.5,15,WIPRO-Q4-FY25-26.pdf
Wipro,2026,1,22134,233232,3336,17.3,15.1,WIPRO-Q1-FY26-27.pdf
Wipro,2026,2,22697,235492,3262,17.2,14.9,WIPRO-Q2-FY26-27.pdf
Wipro,2026,3,23556,242021,3145,17.6,14.2,WIPRO-Q3-FY26-27.pdf
Wipro,2026,4,24236,242156,3521,17.3,13.8,WIPRO-Q4-FY26-27.pdf
Wipro,2027,1,24478,243044,3356,16,13.9,WIPRO-Q1-FY27-28.pdf
HCLTech,2022,1,20068,176499,3214,19.6,11.8,HCLTECH-Q1-FY22-23.pdf
HCLTech,2022,2,20655,187634,3265,19,15.7,HCLTECH-Q2-FY22-23.pdf
HCLTech,2022,3,22331,197777,3442,19,19.8,HCLTECH-Q3-FY22-23.pdf
HCLTech,2022,4,22597,208877,3593,17.9,21.9,HCLTECH-Q4-FY22-23.pdf
HCLTech,2023,1,23464,210966,3283,17,23.8,HCLTECH-Q1-FY23-24.pdf
HCLTech,2023,2,24686,219325,3489,18,23.8,HCLTECH-Q2-FY23-24.pdf
HCLTech,2023,3,26700,222270,4096,19.6,21.7,HCLTECH-Q3-FY23-24.pdf
HCLTech,2023,4,26606,225944,3983,18.1,19.5,HCLTECH-Q4-FY23-24.pdf
HCLTech,2024,1,26296,223438,3534,17,16.3,HCLTECH-Q1-FY24-25.pdf
HCLTech,2024,2,26672,221139,3832,18.5,14.2,HCLTECH-Q2-FY24-25.pdf
HCLTech,2024,3,28446,224756,4350,19.8,12.8,HCLTECH-Q3-FY24-25.pdf
HCLTech,2024,4,28499,227481,3986,17.6,12.4,HCLTECH-Q4-FY24-25.pdf
HCLTech,2025,1,28057,219401,4257,17.1,12.8,HCLTECH-Q1-FY25-26.pdf
HCLTech,2025,2,28862,218621,4235,18.6,12.9,HCLTECH-Q2-FY25-26.pdf
HCLTech,2025,3,29890,220755,4591,19.5,13.2,HCLTECH-Q3-FY25-26.pdf
HCLTech,2025,4,30246,223420,4307,18,13,HCLTECH-Q4-FY25-26.pdf
HCLTech,2026,1,30349,223151,3843,16.3,12.8,HCLTECH-Q1-FY26-27.pdf
HCLTech,2026,2,31942,226640,4235,17.4,12.6,HCLTECH-Q2-FY26-27.pdf
HCLTech,2026,3,33872,226379,4795,18.6,12.4,HCLTECH-Q3-FY26-27.pdf
HCLTech,2026,4,33981,227181,4488,16.5,12.5,HCLTECH-Q4-FY26-27.pdf
HCLTech,2027,1,34579,223889,4624,16.9,12.7,HCLTECH-Q1-FY27-28.pdf
